surname,caste,source_url,gothram,region,example_full_names
BOLLIMUNTHA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BUGGA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHADAAWADA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHALADI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHALAMALASETTY,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHALLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHANDAKA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHANDANA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHANDRALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHANDU,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHAPALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHAVALAM,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHAVVAKULA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHEBROLU,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHEELAMSETTY,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHEERLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHEGONDI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHELAMKURI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHENJI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHENNA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHENNAKESAVULA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHENNAM,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHENNAMSETTY,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHENNU,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
CHINTHAM,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
YADAM,Balija,AP_Election_Data_2019_2024,,Andhra Pradesh,YADAM BALAJI
BUSINE,Boya,AP_Election_Data_2019_2024,,Andhra Pradesh,BUSINE VIRUPAKSHI
TALARI,Boya,AP_Election_Data_2019_2024,,Andhra Pradesh,TALARI RANGAIAH; Talari Venkatrao
AARADHYULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AARI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AATI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ABBURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ACHANTA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADAALATU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADDANKI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADIBHATLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ADIMULAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,K Adimulam
ADIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADITHAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADIVI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADUKURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AINAMPROLU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AINAPARTI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AJJARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKELLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AKHANDAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKANAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKENAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKINAPALI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AKKINAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKINEPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
