surname,frequency,example_full_names,constituencies,years
VASANTH,1,D. Vasanth Kumar,ZAHIRABAD (SC),2009
GORLAKADI,1,Gorlakadi Mollaiah,ZAHIRABAD (SC),2009
PRATAP,1,I. Pratap Kumar,ZAHIRABAD (SC),2009
JANARDHAN,1,Janardhan Lakumala,ZAHIRABAD (SC),2009
BICHAIAH,1,K. Bichaiah,ZAHIRABAD (SC),2009
L.BHOOMAIAH,1,L.Bhoomaiah,ZAHIRABAD (SC),2009
NALLA,1,Nalla Surya Prakash,ZAHIRABAD (SC),2009
RAJ,1,P. Raj Kumar,ZAHIRABAD (SC),2009
SONNAYALA,1,Sonnayala Babu,ZAHIRABAD (SC),2009
NAROTHAM,1,Y. Narotham,ZAHIRABAD (SC),2009
HARISH,1,G M Harish (Balayogi),AMALAPURAM (SC),2024
DORABABU,1,Dorababu Yalla,AMALAPURAM (SC),2024
JILLELLA,1,Jillella Ramesh,AMALAPURAM (SC),2024
KAPA,1,Kapa Kalyan,AMALAPURAM (SC),2024
KATRU,1,Katru Naga Babu,AMALAPURAM (SC),2024
PATHURI,1,Pathuri Ramesh,AMALAPURAM (SC),2024
VADDI,1,Vaddi Lalith Kumar,AMALAPURAM (SC),2024
YADLA,1,Yadla Rajesh,AMALAPURAM (SC),2024
YALANGI,1,Yalangi Ramesh,AMALAPURAM (SC),2024
BUSSA,1,Bussa Nagaraju,BAPATLA (SC),2024
CHINNAM,1,Chinnam Muralidhar,BAPATLA (SC),2024
J.D,1,J.D. Seelam,BAPATLA (SC),2024
JAGAN,1,Jagan Mohana Rao Dokka,BAPATLA (SC),2024
KATTAPOGU,1,Kattapogu Vijay Kumar,BAPATLA (SC),2024
KOTAIAH,1,Kotaiah Parre,BAPATLA (SC),2024
MERUGUPALA,1,Merugupala Sadasivarao,BAPATLA (SC),2024
NALAMALA,1,Nalamala Tirupathi Rao,BAPATLA (SC),2024
PALADUGU,1,Paladugu Vijendra Rao,BAPATLA (SC),2024
DAGGUMALLA,1,Daggumalla Prasada Rao,CHITTOOR (SC),2024
PURNA,1,A. Purna Chandra,CHITTOOR (SC),2024
BANDAPALLI,1,Bandapalli Ramesh,CHITTOOR (SC),2024
C.SUDHAKAR,1,C.Sudhakar,CHITTOOR (SC),2024
MAHESH,1,D. Mahesh,CHITTOOR (SC),2024
K.MUNI,1,K.Muni Krishna,CHITTOOR (SC),2024
MADASI,1,Madasi Sudharshan,CHITTOOR (SC),2024
MOTUKUR,1,Motukur Jagapathi,CHITTOOR (SC),2024
GANGAIAH,1,N. Gangaiah,CHITTOOR (SC),2024
REDDEPPA,1,N. Reddeppa,CHITTOOR (SC),2024
N.CHANDRA,1,N.Chandra Babu,CHITTOOR (SC),2024
MADHU,1,P. Madhu,CHITTOOR (SC),2024
P.JANAKI,1,P.Janaki Rama Rao ( Babu),CHITTOOR (SC),2024
PETA,1,Peta Mohan,CHITTOOR (SC),2024
NARESH,1,T Naresh,CHITTOOR (SC),2024
YUGANDAR,1,Yugandar Konda,CHITTOOR (SC),2024
